profile_id,float_id,cycle_number,lat,lon,observation_date,qc_summary
prof_000,b'1900054 ',1,-14.5819997787476,66.1949996948242,,Data available
prof_001,b'1900054 ',2,-14.4530000686646,66.6620025634766,,Data available
prof_002,b'1900054 ',3,-14.5200004577637,66.9300003051758,,Data available
prof_003,b'1900054 ',4,-14.7720003128052,67.1600036621094,,Data available
prof_004,b'1900054 ',5,-14.8999996185303,67.4169998168945,,Data available
prof_005,b'1900054 ',6,-15.0799999237061,67.4990005493164,,Data available
prof_006,b'1900054 ',7,-15.1780004501343,67.4729995727539,,Data available
prof_007,b'1900054 ',8,-15.3159999847412,67.338996887207,,Data available
prof_008,b'1900054 ',9,-15.6230001449585,67.5589981079102,,Data available
prof_009,b'1900054 ',10,-15.3380002975464,67.7080001831055,,Data available
prof_010,b'1900054 ',11,-14.8430004119873,67.9550018310547,,Data available
prof_011,b'1900054 ',12,-15.2170000076294,68.6360015869141,,Data available
prof_012,b'1900054 ',13,-15.6000003814697,68.7269973754883,,Data available
prof_013,b'1900054 ',14,-15.7250003814697,68.5439987182617,,Data available
prof_014,b'1900054 ',15,-15.9770002365112,68.4929962158203,,Data available
prof_015,b'1900054 ',16,-16.4029998779297,68.375,,Data available
prof_016,b'1900054 ',17,-16.4519996643066,68.2969970703125,,Data available
prof_017,b'1900054 ',18,-16.568000793457,68.7310028076172,,Data available
prof_018,b'1900054 ',19,-16.7740001678467,69.963996887207,,Data available
prof_019,b'1900054 ',20,-17.9120006561279,70.9189987182617,,Data available
prof_020,b'1900054 ',21,-17.617000579834,71.6839981079102,,Data available
prof_021,b'1900054 ',22,-16.4200000762939,72.1050033569336,,Data available
prof_022,b'1900054 ',23,-16.746000289917,72.8499984741211,,Data available
prof_023,b'1900054 ',24,-16.7029991149902,73.6569976806641,,Data available
prof_024,b'1900054 ',25,-16.2509994506836,74.2119979858398,,Data available
prof_025,b'1900054 ',26,-16.1539993286133,74.2870025634766,,Data available
prof_026,b'1900054 ',27,-16.3139991760254,74.265998840332,,Data available
prof_027,b'1900054 ',28,-16.5739994049072,74.2060012817383,,Data available
prof_028,b'1900054 ',29,-16.8439998626709,74.1289978027344,,Data available
prof_029,b'1900054 ',30,-16.951000213623,74.1119995117188,,Data available
prof_030,b'1900054 ',31,-16.798999786377,73.9580001831055,,Data available
prof_031,b'1900054 ',32,-16.5890007019043,74.0869979858398,,Data available
prof_032,b'1900054 ',33,-16.3360004425049,74.4390029907227,,Data available
prof_033,b'1900054 ',34,-16.1580009460449,74.6579971313477,,Data available
prof_034,b'1900054 ',35,-16.2929992675781,74.7249984741211,,Data available
prof_035,b'1900054 ',36,-16.5930004119873,74.6869964599609,,Data available
prof_036,b'1900054 ',37,-16.8110008239746,74.5530014038086,,Data available
prof_037,b'1900054 ',38,-16.9930000305176,74.2919998168945,,Data available
prof_038,b'1900054 ',39,-17.117000579834,74.2389984130859,,Data available
prof_039,b'1900054 ',40,-17.3330001831055,74.0370025634766,,Data available
prof_040,b'1900054 ',41,-17.2000007629395,73.911003112793,,Data available
prof_041,b'1900054 ',42,-17.0279998779297,73.6920013427734,,Data available
